public_petition_text,reason_category
Снова не горит освещение по фасаду и у подъездов. 20:11 26 марта 2021 года.,Содержание МКД
Граффити на здании,Благоустройство
нет света на площадке 8 этажа,Содержание МКД
"на 2 этаже на переходном балконе дверь окрашена в разные цвета и имеет следы расслоения краски. Требую окрасить в тон
2 парадная",Содержание МКД
перенесите урну к лавочке,Благоустройство
Повреждение водосточных труб,Кровля
Сломано звено перильного ограждения эвакуационной лестницы между 1 и 2 этажом эвакуационной лестницы,Содержание МКД
граффити на жалюзи,Благоустройство
Требуется уборка территории вокруг Корпуса 3 Кубинская 70.,Благоустройство
Множественные повреждения асфальтового покрытия.,Благоустройство
рисунки на фасаде здания,Благоустройство
Мусор на тротуаре,Благоустройство
Испорчена решётка пожарной шахты вандальными действиями на 18 этаже 1 парадной. Прошу установить новую в соответствии с требаваниями ПБ.,Содержание МКД
"На газон под окном свалены трубы неизвестного происхождения, ограждение и информационный щит отсутствуют.",Благоустройство
"Скопившаяся листва (мусор). Фотофиксация-11.11.2020г,, 14:23.",Благоустройство
Мусор во дворе.,Благоустройство
На газоне напротив дома ул. Вавиловых д.9 к.3 уже больше двух недель лежит куча бумаги и стекол,Благоустройство
Прошу демонтировать рекламный штендер,Незаконная информационная и (или) рекламная конструкция
забит люк отвода воды,Благоустройство
снег на дороге,Благоустройство
"В кустах свалка мусора, прошлогодней листвы, шин.",Благоустройство
Уборка в подъезде не проводится на регулярной основе. Убирают только после обращений на портал. Сейчас в подъезде на всей лестнице опять грязь.,Содержание МКД
Альпийский переулок почистите от снега,Благоустройство
"Прошу удалить все ""Сопли"" по всему подъезду проводов провайдеров и телевидения.",Содержание МКД
"Следы коррозии, отсутствует порядковый номер и контакт эксплуатирующей организации.",Благоустройство
Реклама на дорожных знаках,Благоустройство
"Разрушена облицовка в парадной №7 16 этаж, повреждены стены, разрушено апольное покрытие
Проблема устранена не качественно:
1) Ремонт сделан не качественно( перепутаны цвета, ремонтированная часть сильно отличается от исходной, фото с отметками после ремонта, фото без отметок как сделано у соседней двери)
2) Ремонт был произведен более чем в 45 дневный срок.",Содержание МКД
"Добрый день!

XXX XXXXXXXX XXX

Регулярно обращаюсь на счет проблемы протечек, но проблема не решается окончательно. Потолок над стеной между туалетом и кухней протекает. Постоянно образуется плесень, которая появляется и после покраски, и после обработки биоцидами. Невозможно сделать ремонт в помещении. Прошу сделать капитальный ремонт этого участка. Уже 5 лет продолжается данная проблема.",Кровля
реклама КФС на столбе,Незаконная информационная и (или) рекламная конструкция
"При нажатии кнопки 20 этажа на пульте, кабина не приходит в движение, лифт на 20 этаже не останавливается. Грузовой лифт № 253, 2 подъезд.",Содержание МКД
"предлагаю сделать парковочные места, тут (на фото показываю). Заезд во двор однополосный и имеется только с одной стороны у дома (проспект космонавтов 92).",Благоустройство
"Требуем привести в порядок подвальное помещение ,осушить !!! Затоплен водой весь подвал!!! В ближайшие дни будут направлены жалобы от жильцов дома в Администрацию Президента и Губернатору СПб!!!
Под кВ 
XXXXX X
 вода ни куда не делась",Водоснабжение
"несанкционированная реклама на столбе освещения, во дворе, напротив спортивной школы",Благоустройство
скользко на тротуаре,Благоустройство
Повалены ветки кустов  прям на дорожку,Благоустройство
Сломана труба,Кровля
"1 подъезд. Нет освещения у мусоропровода на 6,7,8 этажах .",Содержание МКД
"Должностными лицами ТСЖ ""Суворовский-61"" при демонтаже бывшего помещения диспетчерской службы (15 января) была повреждена кирпичная стена слева от входной двери внутри подъезда. Необходимо удалить следы повреждений штукатурного слоя и краски.",Содержание МКД
"Прошу заделать дыры в стенах после демонтированных светильников в лифтовом холле, а именно заштукатурить и покрасить. 286 дом, 5 этаж, подъезд 2.
На данное сообщение Управляющая компания написала отписку, мол это не несет угрозу жизни и здоровью людей и стоит больших затрат. Затраты на небольшой мешок штукатурки за 300 рублей и банки краски за эту же сумму посильная трата за наши не маленькие деньги каждый месяц. А ждать год как они пишут в отписке, на мой взгляд абсурдно. Светильники сняли они, а доделать работу не удосужились. И наблюдать за этим я не намерен. Прошу устранить в кратчайшие сроки!!",Содержание МКД
"Несоблюдение графика. Кажется, не так должен выглядеть подъезд, который сегодня должны были помыть. Белые разводы на пятом вообще не могут вымыть с конца сентября.",Содержание МКД
в третьей парадной гнилостный запах,Санитарное состояние
"Здравствуйте, с новым годом Вас! В подвале опять протечка канализации, очень сильный соответствующий запах, конденсат на стёклах от испарений. Под сливной решёткой стоит вода. Прошу исправить.",Водоотведение
"в первой парадной на 21 этаже над дверью отсутствует таблица ""выход""",Содержание МКД
"поврежден цоколь.сырость в помещении.
необходим ремонт :
1.снятие осолачивания.
2.штукатуривание.
3.покраска.
ТОЛЬКО в ТАКОМ ПОРЯДКЕ,
иначе ремонта хватит на месяц.",Фасад
Прошу проверить законность установки вывески.,Незаконная информационная и (или) рекламная конструкция
"Необходимо отмыть стены лифтовой кабины от грязи, надписей, наклеек рекламы.",Содержание МКД
"Вот фото с 5 этажа той территории. В первый раз я приложил фото, вам не понравилось. Вы все время отклоняете предложения под разными предлогами. Не понятно для чего существует этот портал и для чего вы работаете. Позор вам.


Добрый день! Есть возможность увеличить ширину проезда во дворе буквально на пол метра, как это сделано в соседних дворах и домах, чтобы могли разъехаться 2 машины, или организовать дополнительное пространство для парковки авто как на 2 фото, чтобы все было в рамках закона? Очень большие проблемы с парковкой именно в нашем дворе. Одно из предложений на 3 фото.  Предложения Зои Б. по установке ограждения поддерживаю, но только после расширения зоны. И машины по газону не ездят, там ездит трактор, который чистит снег, видно по следам протектора.",Благоустройство
"Многочисленные повреждения дорожного покрытия проезжей части - многочисленные глубокие выбоины, неровности, выкрашивания, колейность, перепады уровней покрытия.
Машины портят себе колёса и подвески, скорость потока замедляется.
Требуется произвести работы по качественному ремонту асфальтового покрытия (устранить аварийность).
По информации КРТИ, в 2021-2022 годах запланирован ремонт пр.Обуховской Обороны, в том числе в указанном месте.
При возможности - перенести ответ в промежуточный до всестороннего и комплексного устранения дефектов.
*По аналогии с обращениями - https://gorod.gov.spb.ru/problems/3086433/
https://gorod.gov.spb.ru/problems/3254945/
https://gorod.gov.spb.ru/problems/3254944/
https://gorod.gov.spb.ru/problems/3249711/
https://gorod.gov.spb.ru/problems/3249703/.

Фотофиксация от 18.03.прилагается.",Благоустройство
ненадлежащее состояние кровли,Кровля
"Скользко, травматично, отмостка и подходы к парадным не обработаны песком, требуется это исправить",Благоустройство
"Неудовлетворительное состояние двери, отсутствует притвор. Подъезд 4, этаж 1.",Содержание МКД
Несанкционированные надписи,Благоустройство
Песок и грязь на проезжей части,Благоустройство
Надписи на стене дома,Благоустройство
"Во 2-ой парадной со стороны двора сломана входная дверь. Полотно двери изогнуто настолько, что в закрытом состоянии внизу щель шириной 5 см, вследствие перекоса потрескалось стекло двери. Требуется замена полотна двери.",Содержание МКД
Провалилась земля,Повреждения или неисправность элементов уличной инфраструктуры
Надписи на гараже,Благоустройство
"В уличном фонаре повторно перегорела лампа. 
Требуется заменить на новую. 

Фотофиксация от 07.11.прилагается.",Благоустройство
"Не горит фонарь, расположенный на площадке между домами 24 к 3 и 24 к 1 по Северному проспекту. Номер на столбе 37...(третья цифра оторвана).",Благоустройство
объявления на знаках,Благоустройство
Реклама на стенде.,Состояние рекламных или информационных конструкций
"Во входной зоне в парадную есть обширная трещина, которая проходит по потолку и стене, существует угроза обрушения штукатурки. Кроме того, разрушаются ступеньки на первом этаже лестничной клетки.",Содержание МКД
Мусор на газоне в виде покрышки и бесхозной самодельной будки,Благоустройство
объявления на знаках,Благоустройство
"Пешеходные дорожки на улице Будапештской. Между домом #4, детской поликлиникой #19 и ЖК «Твин Хаус». После возведения трансформаторной будки дорожки не привели в порядок. В осенне-зимний сезон по ним не возможно пройти, везде грязь и лужи. Фото прилагаются.",Благоустройство
уберите мусор на газоне вдоль проезжей части,Благоустройство
"На фасаде дома, незаконно и без разрешающих документов установлена наружная решётка на окне первого этажа (на фото выделена графически).
Обращение не отработано, ответ дан не по существу проблемы, указанной в первичном сообщении, сама решётка не демонтирована. Обращение было отправлено по вопросу незаконности установки наружной решётки на фасаде, а НЕ по вопросу её соответствия требованиям пожарной безопасности. Решётка может соответствовать требованиям пожарной безопасности, но при этом быть незаконно установленной. Абсолютно никакого внятного ответа и документов по вопросу законности/незаконности установки данной решётки не предоставлено, ответ дан абсолютно не по существу проблемы указанной в первичном сообщении, в связи с чем необходимо вернуть на доработку.",Нарушение правил пользования общим имуществом
"нет мытья лестничной клетки долгое время. Грязь, песок по всем этажам. Необходимо вымыть все этажи, вымывая грязь и песок с лестницыв том числе у основания перилл и в углах у стены.",Содержание МКД
Отсутствует график уборки. Уборка не производится до подачи жалобы на портал. В подъезде грязно.,Содержание МКД
незаконный рекламный щит,Незаконная информационная и (или) рекламная конструкция
объявления на знаках,Благоустройство
Наклейка и граффити (в т.ч. внутри паровозика),Благоустройство
граффити на площадке,Благоустройство
Возле магнита на газоне много мелкого мусора,Благоустройство
Прошу убрать сор.,Благоустройство
Проезжая часть и дорога во дворе очень грязные. Уборка производится неудовлетворительно. До сих пор на асфальте остатки песчаной смеси которую рассыпают зимой. Сейчас середина апреля. Прошу провести уборку и отмыть дорогу во дворе от песка и грязи.,Благоустройство
Не работает освещение первого этажа в подъезде № 8.,Содержание МКД
Загрязнение  павильона остановки,Благоустройство
"Надписи на стене.
В сообщении № 3097178 указаны надписи на двери, а здесь на стене. 
XX XXXXXXXXX XXX XXX XXXXXXXXX XXXXXXXXX XXXXXXXXXX XX XXXXXXX XXXXXXX XXXXXXXXX XXXXXXXXXX XXX X X XXXXXX",Благоустройство
Прошу очистить от граффити,Благоустройство
"адм. Кал.р-на обязана не допускать незаконную торговлю, а в данном месте у ст. М. Академическая ПРОДОЛЖАЕТ БЕЗНАКАЗАННО процветать безобразная НЕЗАКОННАЯ ТОРГОВЛЯ с вонючих столов, досок, тележек, коробок и ящиков товаром НЕ ВЫРАЩЕННЫМ СВОИМ ТРУДОМ на садовом участке...
Данная торговка на этой территории организовала два места незаконной реализации продуктов питания. 
Помимо этого на парковке стоит авто, где торговка хранит в АНТИСАНИТАРНЫХ условиях свой товар и рядом с которым, она устроила хламовник, куда сбрасывает гнильё, ящики, коробки, тележки.
ТРЕБУЕТСЯ 
1.Освободить  пр. Науки и территорию у  ст. М. Академическая от этой безобразной незаконной  и нецивилизованной торговли.

2. Прекратить НЕЗАКОННУЮ ЕЖЕДНЕВНУЮ торговлю продуктами питания:
а. без сроков его производства и годности, 
б. без сертификатов качества, документов санитаного и фито контроля 
в. без разрешений на место торговли
г. без налоговых платежей в бюджет города.","Незаконная реализация товаров с торгового оборудования (прилавок, ящик, с земли)"
Просьба помыть пол до 5 этажа и вывесить график уборки на текущий месяц. Последняя влажная уборка проводилась 17 ноября 2020.,Содержание МКД
"Около метро проспект Ветеранов (выход на дачный проспект ) территория не обработана элементарно песком ,сплошной гололёд ,ходить невозможно !!!
Чего ждём ?? Травм ??",Благоустройство
"Санкт-Петербург, проспект Косыгина, дом 28, корпус 1, литера А 
пар. 6

Просьба убрать остатки клея в лифте после рекламы",Содержание МКД
"Реклама (на асфальте конструкция), проверить законность",Незаконная информационная и (или) рекламная конструкция
рисунки на знаках,Благоустройство
Повреждён асфальт вокруг люка,Повреждения или неисправность элементов уличной инфраструктуры
не работает доводчик входной двери  тамбура.4 подъезд.вохдная группа со стороны двора.просьба заменить на рабочий.,Содержание МКД
"Нарушение графика уборки.
Не убирают месяцами.",Содержание МКД
"Мусор на газоне и на детской площадке, с двух сторон от ограды",Благоустройство
Отсутствие уборки в подъезде/ лестницу не моют!,Содержание МКД
"Прошу исправить опасное состояние люка, судя по всему, треснуло жб кольцо, люк полуоткрыт!",Повреждения или неисправность элементов уличной инфраструктуры
"Туристская 28к1, 6 подъезд, 15 этаж.
Сегодня утром появились надписи, явно сделанные школьниками. Помимо того, что я прошу их убрать, так и провести работы по предотвращению попаданий таких людей в дом. Спасибо",Содержание МКД
объявление,Благоустройство
много мусора на площадке,Содержание МКД
"XXXXXXXXX XXXXXXX XXXXXX XXXXXXX X X XXXXXXXXX XXX XXXXXXXX XX XXX XXX XX XXXXXXXXXXXXX XXXXXXXX X XXXXX XXXXXXXXX
Ранее уже по этой машине было заявление, ее просто перегнали на 100 метров в другое место. У машины разбита задняя часть, отсутствуют номера и нет переднего бампера!
XXXXXXXX XXXXXXX XXXXX X XX XXXXXXXXXX XXXXXXXXXXX XXX XXXXXX XXXXXXXX
Требую вывезти разукомплектованное транспортное средство!",Благоустройство
Деформированы трубы,Кровля
"Неубранный снег на автомобильных дорогах и прилегающих к ним тротуарах, спусках к воде, подземных и надземных пешеходных переходах",Благоустройство
прошу провести ремонт асфальта,Повреждения или неисправность элементов уличной инфраструктуры
рисунки на знаках,Благоустройство
Вся территория в грязи и мусоре и листве,Благоустройство
Очистить,Благоустройство
Нарушено асфальтовое покрытие,Благоустройство
"Работали рабочие Россети. Испортили газон, срезали ограждение, сломали кусты, вырубили деревья, клумбу поставили посередине прохода к парадной, теперь машины разворачиваются на нашем газоне, т.к. нет ограждения. Просим исправить ситуацию!!!",Благоустройство
Придать форму кустам,Благоустройство
Незаконная реклама,Незаконная информационная и (или) рекламная конструкция
"Добрый день!
В подъезде не производилась уборка с декабря 2020 года, влажная уборка выше второго этажа, судя по графику, не производилась в декабре в принципе. Требую обязать УК выполнять обязательства по содержанию МКД в соответствии с действующим законодательством.",Содержание МКД
не очищена дорога,Благоустройство
надписи,Благоустройство
прошу проверить законность размещения на фасаде МКД антенны!,Нарушение правил пользования общим имуществом
Развернут дорожный знак.,Благоустройство
Мало песка в песочнице,Благоустройство
граффити в лифте,Содержание МКД
Реклама на дорожном знаке,Благоустройство
Мусор,Благоустройство
Вывести старую покрышку.,Благоустройство
этаж 3 нависающие электропровода,Содержание МКД
Граффити на фасаде,Благоустройство
На 4этаже Облупилась краска,Содержание МКД
Развернут дорожный знак,Благоустройство
срач,Благоустройство
Надпись на ограждении контейнерной площадки.,Содержание МКД
Грязная парадная. В октябре мыли и подметали всего один раз. Вывешенный график уборки парадной не соответсвует действительности.,Содержание МКД
"По всей территории лежат покрышки и стоят бутылки с водой, тем самым занят парковочные места.",Благоустройство
"В субботу дворники провели субботник и собрали листву, мусор и ветки в кучи и мешки. Мешки увезли, а кучи оставили. Прошу увезти кучи, пока их не разнесло ветром по территории",Благоустройство
"Пожалуйста, восстановите полуразрушенный бетонный вазон во дворе. Адрес : улица Тухачевского, д. 3 а",Благоустройство
"Огромные выбоины до метра длинной,глубина 20-25 см.
Уже года полтора без изменений,люди убивают машины,особенно ночью и в дождь.",Благоустройство
Сломаны качели,Благоустройство
"Не убран мусор в кустах, а также мелкий мусор  на площадке",Благоустройство
"На улице Танкиста Хрустицкого 106,/110,/104
Куча мусора.
Помойку кидают прямо не тротуар.
Это нормально???..
Срочно примите меры!!",Содержание МКД
Не светит,Благоустройство
ямы на дороге,Благоустройство
Надписи на сооружении,Содержание МКД
"В доме по адресу: Сиреневый бульвар 4к2, лит. Х, в парадной №4 на первом этаже, на дверях лифта изображена несанкционированная надпись. Пожалуйста, исправьте данную проблему!",Содержание МКД
Нет радиаторов отопления на 3 и 4 этажах лестницы 3.,Центральное отопление
"Неисправный светильник, просьба заменить",Благоустройство
реклама на опоре освещения,Благоустройство
обрушение гранитной плитки на фасаде. Восстановить гранитную плитку.,Благоустройство
Убрать газету со скамейки,Благоустройство
"Во дворе, с права от подъезда №5, открыт продух.
Требуется установить решётку (жалюзи), чтобы не проникали животные (крысы).",Подвалы
снег не убран,Благоустройство
Неубранный снег ! Просьба счистить. До пешеходного покрытия в виде плитки,Благоустройство
По всей парадной рекламные объявления! На входной двери металлическое приклеенное объявление не убирают!,Содержание МКД
неочищенные урны,Благоустройство
Несанкционированные объявления,Благоустройство
"Жизнь в ПОМОЙКЕ продолжается.
Урны жкс-3 принципиально ОЧИЩАТЬ 
СВОЕВРЕМЕННО  НЕ ЖЕЛАЕТ.",Благоустройство
Склад макулатуры №5 в зоне мусорной площадки.,Содержание МКД
"Не освобождают мусорный бак. Должны это делать КАЖДЫЙ день, но на выходных этого не делают. Мусоропровод забивается до 1 этажа, иногда и выше. На фото мусоропровод 10 парадной на 1 этаже в воскресенье. 
Мусоропровод почистят в понедельник независимо от того, что я пишу Вам обращение(3-е уже). Суть в том, чтобы мусор вывозили не только по будням, но и по выходным,то есть, КАЖДЫЙ ДЕНЬ, как это положено.",Санитарное состояние
Листья мусор,Благоустройство
"Контейнерная площадка в плохом состоянии. Рядом стихийно складируют ветки, мебель, сантехнику. Тут же сидят бомжи.",Содержание МКД
Отваливается плитка на стене.,Фасад
уберите,Благоустройство
Закрасить граффити в цвет дома,Благоустройство
Прошу убрать мусор,Благоустройство
Несанкционированные надписи на стенах пассажирского лифта.,Содержание МКД
"Требуется произвести работы по качественной очистке опоры рекламной конструкции от несанкционированных рекламных объявлений, не оставляя следов. 

Фотофиксация от 30.01.прилагается.",Состояние рекламных или информационных конструкций
"Мусор, окурки, грязь",Благоустройство
незаконная решетка на фасаде,Нарушение правил пользования общим имуществом
"Не закрывается мусоросборник, выпадает мусор, между 3 и 4 этажом",Содержание МКД
Во дворе у дома 8 (со стороны входа в подъезды) по Кузнецовской улице не работает освещение 2-х фонарных столбов.,Благоустройство
"Неисправно освещение в арке, не работает. Устранить. В арке в темноте распивают алкоголь",Содержание МКД
"На газоне валяется железобетонный мусор, надо вывести.",Благоустройство
"ул. Коллонтай, дом 43,

Пар 5

Просьба отмыть от краски синюю табличку",Содержание МКД
не работает светильник над входом в парадную №2.,Содержание МКД
Складирование снега во дворе вне специально установленных или согласованных мест во дворе.,Благоустройство
яма на внутридворовом проезде,Благоустройство
"Не исправен доводчик входной двери. Фасадная парадна, квартиры 7,8,9",Содержание МКД
"Здание (архитектурный памятник Музыкальный павильон арх-р Росси) в аварийном состоянии - следы намокания, плесени по всему периметру, трещины в штукатурном слое, отслоение окрасочного слоя, намокание на потолке. Частичная утрата мраморных фрагментов колонн. Необходимо начать реставрацию.",Фасад
Демонтировать световую бегущую строку,Незаконная информационная и (или) рекламная конструкция
"График заполняется, а уборки нет. Ни сухой ни влажной",Содержание МКД
"Мусор в виде покрышек, коробки и сухих веток",Благоустройство
"трясёт лифт, особенно когда вниз едет
грузовой правый во 2 парадной",Содержание МКД
"Добрый день! По адресу проспект Шаумяна 73 кв. 59, 3 подъезд не работает домофон. А именно в течение дня у жильцов подъезда не получается открыть дверь своими ключами. Домофон обслуживает компания Цифрал-Сервис. По заявкам приезжает мастер, обесточивает полностью домофон, затем включает, и в моменте фиксирует, что домофон работает. Более того он передаёт не достоверную информацию по проблеме, приезжая якобы чинить он не связывается со мной, чтобы я могла проверить исполнение заявки и работу домофона. Далее с течением времени иногда через полчаса, иногда через час, он снова перестаёт работать. Сегодня по ранее созданной заявки звонил оператор и озвучил, что подъезд в 20 квартир им не интересен с точки зрения модернизации, а заменить на новое такое же оборудование возможности нет. На момент подачи этого обращения домофон НЕ РАБОТАЕТ. При этом Компания продолжает настаивать на оплате счета в размере суммарно 1500 руб. за год.",Содержание МКД
Мусор и листья на тротуаре,Благоустройство
"Торговки у ст.м.Проспект Ветеранов, рядом с входом у общественный туалет, 14 апреля с.г., 16.00","Незаконная реализация товаров с торгового оборудования (прилавок, ящик, с земли)"
"Граффити на стене чёрной лестницы.
Адрес: Искровский проспект, д. 3, корп. 2, лит. Д (парадная 6, этаж 9)",Содержание МКД
Надписи между первым и вторым этажом. Сломанное информационное табло. Отваливается штукурка.,Содержание МКД
"Требуется заделать места прохода кабелей
Предчердачное помещение",Содержание МКД
Надписи,Благоустройство
Объявления,Благоустройство
Мусор на газоне,Благоустройство
отсутствует график уборки в подъезде. уборка не проводилась длительное время. грязно до 5го этажа,Содержание МКД
"К трамваю на остановке не пройти, при чистке дороги свалили снег",Благоустройство
"Мусор на внутридворовой территории по адресу: улица Солдата Корзуна, дом 5, литера А, находящейся в зоне обслуживания ООО ""Жилкомсервис №3 Кировского района""  Скопление мусора по внешней стороны дома. Отсутствие какой-либо уборки со стороны сервисной компании, бытовой мусор ,окурки покрывают землю ковром.  Требуется провести тщательную уборку территории, в соответствии с распоряжением Правительства Санкт-Петербурга от 18 июля 2016 года N 897-р.",Благоустройство
"Самовольно размещенные кондиционеры уродуют фасад нашего дома. ТСЖ ""Суворовский-61"" обязано проверять согласование КГА на установку дополнительного оборудования, следить за недопущением незаконного размещения кондиционеров, антенн и прочего оборудования на стенах, на крыше, внутри дома.  

Несмотря на неоднократные обращения Администрации Центрального Района и Жилищной Инспекции к ТСЖ ""Суворовский-61"", самовольно размещенные кондиционеры так и не удалены с фасада за 6 месяцев.

Повторный осмотр дома с представителями Администрации центрального района был проведен совместно в октябре 2020 года. Необходимо принять меры в отношении должностных лиц ТСЖ ""Суворовский-61"" и удалить незаконно размещенное оборудование с фасада здания в судебном порядке.

Этот кондиционер находится над пешеходным проходом (на уровне 4-го этажа подъезда №7) со стороны спортивной площадки.",Нарушение правил пользования общим имуществом
"Отсутствует и не оборудована контейнерная площадка. Контейнеры с открытыми крышками постоянно выставлены на улице, придавая ей крайне неопрятный вид. Неоднократные обращения не влияют на ситуацию.",Благоустройство
брошенный автомобиль во дворе дома 35к1 по улице маршала Захарова,Благоустройство
незаконный кондиционер на фасаде,Нарушение правил пользования общим имуществом
Граффити на фасаде по Клинскому,Благоустройство
"Лифт очень медленно реагирует на нажитие кнопок, после нескольких нажатий и едет очень медленно, по сравнению с лифтами в других подъездах. 1й подъезд",Содержание МКД
"снять рекламу
не снята реклама",Благоустройство
Отваливается краска на стене.,Фасад
"В октябре приезжали какие-то люди, перекопали всё, уничтожив остатки и без того нуждающегося в ремонте асфальтового покрытия. Ни паспорта объекта, ни ограждения не наблюдалось, из чего очевидно, что это были какие-то хулиганы. Прошу восстановить асфальт во дворе в ближайший благополучный для этого климатический сезон.",Благоустройство
Не работает грузовой лифт 2 парадная.,Содержание МКД
из подвала воняет канализацией.,Водоотведение
"Большое колличество бытового мусора на газоне, а также мелкие бетонные остатки и камни",Благоустройство
"На территории гаражей на Полюстровском проспекте д19.к2, возле детского сада 32, уже несколько лет стоит брошенное разукомплектованное автотранспортное средство.",Благоустройство
